"Ward","Street","Occupancy (%)","Bay Type","No. Bays"
"Marylebone High Street","Henrietta Place",73.6,"Pay by Phone Bay","8"
"Marylebone High Street","Henrietta Place",59.1,"Resident Bay","2"
"St. James's","Henrietta Street",73.7,"Pay by Phone Bay","11"
"St. James's","Henrietta Street",81.5,"Resident Bay","9"
"Abbey Road","Henstridge Place",79.5,"Resident Bay","4"
"Lancaster Gate","Hereford Road",70.5,"Resident Bay","119"
"Lancaster Gate","Hereford Road",80,"Shared Use Bay","7"
"Bayswater","Hereford Road",70.5,"Resident Bay","119"
"Bayswater","Hereford Road",NA,"Pay by Phone Bay",NA
"Hyde Park","Hermitage Street",75,"Resident Bay","4"
"Vincent Square","Herrick Street",59.5,"Resident Bay","31"
"Vincent Square","Herrick Street",45.6,"Shared Use Bay","45"
"Queen's Park","Herries Street",67.1,"Shared Use Bay","7"
"Queen's Park","Herries Street",82.3,"Resident Bay","12"
"West End","Hertford Street",89.3,"Pay by Phone Bay","6"
"West End","Hertford Street",67.4,"Resident Bay","19"
"Vincent Square","Hide Place",66.2,"Pay by Phone Bay","6"
"Vincent Square","Hide Place",91.3,"Resident Bay","12"
"Abbey Road","Hill Road",95.1,"Resident Bay","31"
"Abbey Road","Hill Road",54.5,"Pay by Phone Bay","4"
"West End","Hill Street",77.2,"Pay by Phone Bay","33"
"West End","Hill Street",73.4,"Resident Bay","37"
"Marylebone High Street","Hinde Street",44.9,"Resident Bay","7"
"Marylebone High Street","Hinde Street",52.3,"Pay by Phone Bay","4"
"Churchill","Holbein Place",90.9,"Resident Bay","4"
"Churchill","Holbein Place",78.5,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Homer Street",75,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","Homer Street",86.4,"Resident Bay","10"
"Harrow Road","Hormead Road",84.6,"Pay by Phone Bay","6"
"Harrow Road","Hormead Road",78.5,"Resident Bay","61"
"St. James's","Horseferry Road",54.4,"Pay by Phone Bay","8"
"St. James's","Horseferry Road",23.6,"Resident Bay","10"
"Vincent Square","Horseferry Road",54.4,"Pay by Phone Bay","8"
"Vincent Square","Horseferry Road",23.6,"Resident Bay","10"
"Vincent Square","Howick Place",50,"Resident Bay","10"
"Vincent Square","Howick Place",53.5,"Pay by Phone Bay","25"
"Little Venice","Howley Place",81.5,"Resident Bay","35"
"Little Venice","Howley Place",72.2,"Pay by Phone Bay","7"
"Warwick","Hugh Street",60,"Pay by Phone Bay","5"
"Warwick","Hugh Street",79.5,"Resident Bay","42"
"Bryanston and Dorset Square","Huntsworth Mews",52.7,"Resident Bay","5"
"Queen's Park","Huxley Street",63.6,"Pay by Phone Bay","2"
"Queen's Park","Huxley Street",63.1,"Resident Bay","51"
"Hyde Park","Hyde Park Crescent",61.7,"Resident Bay","18"
"Hyde Park","Hyde Park Crescent",44.5,"Shared Use Bay","20"
"Hyde Park","Hyde Park Gardens",74.2,"Resident Bay","25"
"Hyde Park","Hyde Park Gardens",NA,"Pay by Phone Bay",NA
"Hyde Park","Hyde Park Square",58.3,"Resident Bay","40"
"Hyde Park","Hyde Park Square",23.1,"Shared Use Bay","26"
"Hyde Park","Hyde Park Street",46,"Pay by Phone Bay","9"
"Hyde Park","Hyde Park Street",65.1,"Resident Bay","42"
"Queen's Park","Ilbert Street",51.3,"Shared Use Bay","32"
"Queen's Park","Ilbert Street",57.5,"Resident Bay","117"
"Queen's Park","Ilbert Street",66.4,"Pay by Phone Bay","6"
"Lancaster Gate","Ilchester Gardens",57.9,"Resident Bay","17"
"West End","Ingestre Place",73.1,"Resident Bay","11"
"Lancaster Gate","Inverness Place",99.9,"Resident Bay","3"
"Lancaster Gate","Inverness Place",81.8,"Pay by Phone Bay","2"
"Lancaster Gate","Inverness Terrace",59.1,"Pay by Phone Bay","10"
"Lancaster Gate","Inverness Terrace",59.8,"Resident Bay","140"
"Lancaster Gate","Inverness Terrace",69.1,"Shared Use Bay","25"
"Bryanston and Dorset Square","Ivor Place",71.5,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Ivor Place",100,"Resident Bay","7"
"Marylebone High Street","James Street, Marylebone",NA,"Pay by Phone Bay",NA
"Marylebone High Street","James Street, Marylebone",NA,"Resident Bay",NA
"Knightsbridge and Belgravia","Jay Mews",55,"Resident Bay","12"
"St. James's","Jermyn Street",62.7,"Pay by Phone Bay","10"
"Church Street","Jerome Crescent",84.4,"Resident Bay","21"
"Church Street","Jerome Crescent",95.5,"Shared Use Bay","2"
"St. James's","John Adam Street",65.1,"Pay by Phone Bay","9"
"Vincent Square","John Islip Street",32.3,"Resident Bay","18"
"Vincent Square","John Islip Street",55,"Pay by Phone Bay","12"
"Vincent Square","John Islip Street",46.4,"Shared Use Bay","15"
"St. James's","Kean Street",59.9,"Resident Bay","8"
"St. James's","Kean Street",70.9,"Pay by Phone Bay","17"
"St. James's","Kemble Street",68.7,"Resident Bay","25"
"St. James's","Kemble Street",77.1,"Pay by Phone Bay","8"
"Hyde Park","Kendal Street",82.2,"Pay by Phone Bay","12"
"Hyde Park","Kendal Street",93,"Resident Bay","11"
"Hyde Park","Kendal Street",91.9,"Shared Use Bay","8"
"Harrow Road","Kennet Road",79.5,"Pay by Phone Bay","4"
"Harrow Road","Kennet Road",56.1,"Resident Bay","17"
"Marylebone High Street","Kenrick Place",45.5,"Pay by Phone Bay","2"
"Marylebone High Street","Kenrick Place",72.3,"Resident Bay","3"
"Lancaster Gate","Kensington Gardens Square",79,"Resident Bay","90"
"Lancaster Gate","Kensington Gardens Square",45.5,"Pay by Phone Bay","4"
"Lancaster Gate","Kensington Gardens Square",79.1,"Shared Use Bay","13"
"Knightsbridge and Belgravia","Kensington Gore",65.8,"Resident Bay","56"
"Knightsbridge and Belgravia","Kensington Gore",51,"Pay by Phone Bay","17"
"Queen's Park","Kilburn Lane",72.3,"Resident Bay","61"
"Maida Vale","Kilburn Park Road",82.2,"Resident Bay","93"
"Maida Vale","Kilburn Park Road",65.5,"Pay by Phone Bay","10"
"Bayswater","Kildare Gardens",81.8,"Pay by Phone Bay","2"
"Bayswater","Kildare Gardens",68.7,"Resident Bay","19"
"Bayswater","Kildare Terrace",85.7,"Resident Bay","43"
"Bayswater","Kildare Terrace",81.5,"Pay by Phone Bay","3"
"Queen's Park","Kilravock Street",48.4,"Shared Use Bay","21"
"Queen's Park","Kilravock Street",53.5,"Resident Bay","107"
"St. James's","King Street",75,"Resident Bay","4"
"St. James's","King Street",71.2,"Pay by Phone Bay","11"
"St. James's","King Street, Wc2",NA,"Pay by Phone Bay",NA
"Vincent Square","Kings Scholars Passage",77.1,"Resident Bay","25"
"Abbey Road","Kingsmill Terrace",92.3,"Shared Use Bay","6"
"Abbey Road","Kingsmill Terrace",100,"Resident Bay","4"
"Knightsbridge and Belgravia","Kinnerton Street",36.4,"Pay by Phone Bay","2"
"Knightsbridge and Belgravia","Kinnerton Street",100,"Resident Bay","16"
"Bryanston and Dorset Square","Knox Street",74.7,"Resident Bay","8"
"Bryanston and Dorset Square","Knox Street",56.8,"Pay by Phone Bay","4"
"Little Venice","Lanark Place",86.1,"Resident Bay","6"
"Little Venice","Lanark Road",82.8,"Resident Bay","203"
"Little Venice","Lanark Road",76.9,"Pay by Phone Bay","8"
"Maida Vale","Lanark Road",82.8,"Resident Bay","203"
"Maida Vale","Lanark Road",74.8,"Shared Use Bay","14"
"Lancaster Gate","Lancaster Gate",65.4,"Resident Bay","131"
"Lancaster Gate","Lancaster Gate",62.2,"Shared Use Bay","16"
"Lancaster Gate","Lancaster Gate",65.1,"Pay by Phone Bay","15"
"Lancaster Gate","Lancaster Mews",36.4,"Pay by Phone Bay","1"
"Queen's Park","Lancefield Street",69.4,"Shared Use Bay","6"
"Queen's Park","Lancefield Street",70.1,"Resident Bay","40"
"Queen's Park","Lancefield Street",32.7,"Pay by Phone Bay","8"
"Knightsbridge and Belgravia","Lancelot Place",55.4,"Pay by Phone Bay","7"
"Knightsbridge and Belgravia","Lancelot Place",45,"Resident Bay","9"
"Abbey Road","Langford Place",80,"Shared Use Bay","5"
"Abbey Road","Langford Place",54,"Resident Bay","9"
"West End","Langham Street",76.9,"Pay by Phone Bay","11"
"West End","Langham Street",74,"Resident Bay","9"
"Harrow Road","Lanhill Road",75,"Pay by Phone Bay","4"
"Harrow Road","Lanhill Road",77.4,"Resident Bay","54"
"Maida Vale","Lauderdale Road",67.4,"Resident Bay","155"
"Maida Vale","Lauderdale Road",46,"Shared Use Bay","65"
"Westbourne","Leamington Road Villas",70.9,"Shared Use Bay","6"
"Westbourne","Leamington Road Villas",78.1,"Resident Bay","65"
"Bayswater","Ledbury Road",52.7,"Pay by Phone Bay","5"
"Bayswater","Ledbury Road",94.1,"Resident Bay","27"
"Westbourne","Ledbury Road",94.1,"Resident Bay","27"
"West End","Lees Place",12.7,"Pay by Phone Bay","5"
"West End","Lees Place",74.7,"Resident Bay","12"
"Lancaster Gate","Leinster Gardens",75.3,"Resident Bay","50"
"Lancaster Gate","Leinster Gardens",56,"Shared Use Bay","9"
"Lancaster Gate","Leinster Gardens",52,"Pay by Phone Bay","9"
"Lancaster Gate","Leinster Place",55.6,"Resident Bay","11"
"Lancaster Gate","Leinster Square",62.8,"Resident Bay","68"
"Lancaster Gate","Leinster Square",68.2,"Pay by Phone Bay","10"
"Bayswater","Leinster Square",68.2,"Pay by Phone Bay","10"
"Bayswater","Leinster Square",62.8,"Resident Bay","68"
"Bayswater","Leinster Square",63.6,"Shared Use Bay","39"
"Lancaster Gate","Leinster Terrace",52.7,"Resident Bay","5"
"Lancaster Gate","Leinster Terrace",63.6,"Pay by Phone Bay","2"
"Church Street","Lilestone Street",88.8,"Shared Use Bay","23"
"Church Street","Lilestone Street",73,"Resident Bay","21"
"St. James's","Lincolns Inn Fields",35.5,"Shared Use Bay","57"
"St. James's","Lincolns Inn Fields",NA,"Pay by Phone Bay",NA
"Bryanston and Dorset Square","Linhope Street",84.1,"Resident Bay","26"
"Bryanston and Dorset Square","Lisson Grove",83.9,"Resident Bay","27"
"Bryanston and Dorset Square","Lisson Grove",77.3,"Pay by Phone Bay","2"
"Regent's Park","Lisson Grove",83.9,"Resident Bay","27"
"Regent's Park","Lisson Grove",0,"Shared Use Bay","5"
"Regent's Park","Lisson Grove",77.3,"Pay by Phone Bay","2"
"Church Street","Lisson Grove",83.9,"Resident Bay","27"
"Church Street","Lisson Grove",77.3,"Pay by Phone Bay","2"
"Church Street","Lisson Street",85.1,"Resident Bay","12"
"Church Street","Lisson Street",87.2,"Shared Use Bay","8"
"St. James's","Litchfield Street",72.5,"Resident Bay","3"
"Knightsbridge and Belgravia","Little Chester Street",72.1,"Resident Bay","13"
"St. James's","Little College Street",88.6,"Resident Bay","4"
"St. James's","Little College Street",73.1,"Shared Use Bay","9"
"West End","Little Portland Street",20.9,"Resident Bay","6"
"St. James's","Little St Jamess Street",44.4,"Resident Bay","13"
"West End","Little Titchfield Street",40.9,"Pay by Phone Bay","2"
"West End","Little Titchfield Street",83.6,"Resident Bay","5"
"Regent's Park","Lodge Road",66.5,"Resident Bay","44"
"Regent's Park","Lodge Road",62.5,"Shared Use Bay","27"
"Regent's Park","Lodge Road",66.3,"Pay by Phone Bay","3"
"Lancaster Gate","Lombardy Place",90.9,"Resident Bay","5"
"Hyde Park","London Street",74.5,"Resident Bay","5"
"Hyde Park","London Street",90.7,"Pay by Phone Bay","8"
"St. James's","Long Acre",63,"Resident Bay","34"
"St. James's","Long Acre Walkway",NA,"Resident Bay",NA
"Warwick","Longmoore Street",72.5,"Pay by Phone Bay","3"
"Warwick","Longmoore Street",77.1,"Resident Bay","17"
"Westbourne","Lord Hills Road",94.5,"Resident Bay","7"
"Westbourne","Lord Hills Road",81.8,"Pay by Phone Bay","2"
"St. James's","Lord North Street",86.6,"Resident Bay","12"
"Queen's Park","Lothrop Street",41.2,"Shared Use Bay","16"
"Queen's Park","Lothrop Street",58.4,"Resident Bay","98"
"Abbey Road","Loudoun Road",61.5,"Resident Bay","78"
"Abbey Road","Loudoun Road",59.4,"Shared Use Bay","7"
"Abbey Road","Loudoun Road",58.7,"Pay by Phone Bay","6"
"Knightsbridge and Belgravia","Lower Belgrave Street",69,"Shared Use Bay","9"
"Knightsbridge and Belgravia","Lower Belgrave Street",70.9,"Resident Bay","32"
"Warwick","Lower Belgrave Street",77.3,"Pay by Phone Bay","2"
"Warwick","Lower Belgrave Street",70.9,"Resident Bay","32"
"Knightsbridge and Belgravia","Lowndes Place",48.5,"Shared Use Bay","19"
"Knightsbridge and Belgravia","Lowndes Place",40.9,"Resident Bay","10"
"Knightsbridge and Belgravia","Lowndes Square",66.8,"Resident Bay","36"
"Knightsbridge and Belgravia","Lowndes Street",65.9,"Resident Bay","20"
"West End","Lumley Street",24.5,"Resident Bay","10"
"Churchill","Lupus Street",66.8,"Pay by Phone Bay","27"
"Churchill","Lupus Street",71.5,"Resident Bay","71"
"Churchill","Lupus Street",84.2,"Shared Use Bay","17"
"Warwick","Lupus Street",66.8,"Pay by Phone Bay","27"
"Warwick","Lupus Street",84.2,"Shared Use Bay","17"
"Tachbrook","Lupus Street",66.8,"Pay by Phone Bay","27"
"Tachbrook","Lupus Street",71.5,"Resident Bay","71"
"Church Street","Luton Street",74.2,"Resident Bay","18"
"Marylebone High Street","Luxborough Street",92.5,"Resident Bay","19"
"Marylebone High Street","Luxborough Street",74.8,"Pay by Phone Bay","8"
"Knightsbridge and Belgravia","Lyall Street",60.2,"Shared Use Bay","9"
"Knightsbridge and Belgravia","Lyall Street",55.5,"Pay by Phone Bay","15"
"Knightsbridge and Belgravia","Lyall Street",60.5,"Resident Bay","20"
"Harrow Road","Lydford Road",42.2,"Pay by Phone Bay","6"
"Harrow Road","Lydford Road",56.9,"Resident Bay","62"
"Church Street","Lyons Place",86.1,"Resident Bay","13"
"Regent's Park","Mackennal Street",85.1,"Resident Bay","30"
"Regent's Park","Mackennal Street",73.6,"Pay by Phone Bay","7"
"Harrow Road","Macroom Road",64.9,"Shared Use Bay","6"
"Harrow Road","Macroom Road",55.2,"Resident Bay","42"
"West End","Maddox Street",61.8,"Pay by Phone Bay","10"
"West End","Maddox Street",56.2,"Resident Bay","13"
"West End","Maddox Street",0,"Shared Use Bay","4"
"Little Venice","Maida Avenue",85.3,"Resident Bay","74"
"Little Venice","Maida Avenue",87.7,"Pay by Phone Bay","3"
"Little Venice","Maida Avenue",82.5,"Shared Use Bay","14"
"St. James's","Maiden Lane",79.5,"Pay by Phone Bay","4"
"Church Street","Mallory Street",75.5,"Resident Bay","11"
"Church Street","Mallory Street",93.9,"Shared Use Bay","3"
"Harrow Road","Malvern Place",NA,"Pay by Phone Bay",NA
"Harrow Road","Malvern Place",NA,"Resident Bay",NA
"Marylebone High Street","Manchester Mews",100,"Resident Bay","1"
"Marylebone High Street","Manchester Square",57.2,"Pay by Phone Bay","40"
"Marylebone High Street","Manchester Square",59.2,"Resident Bay","33"
"Marylebone High Street","Manchester Street",72.5,"Resident Bay","45"
"Marylebone High Street","Manchester Street",72.7,"Pay by Phone Bay","17"
"Marylebone High Street","Mandeville Place",49.1,"Pay by Phone Bay","5"
"West End","Manette Street",NA,"Shared Use Bay",NA
"West End","Mansfield Mews",100,"Resident Bay","2"
"West End","Mansfield Street",72.3,"Resident Bay","16"
"West End","Mansfield Street",74.1,"Shared Use Bay","19"
"Queen's Park","Marban Road",68.4,"Shared Use Bay","25"
"Queen's Park","Marban Road",65.5,"Resident Bay","20"
"West End","Margaret Street",61.7,"Pay by Phone Bay","11"
"West End","Margaret Street",59.1,"Resident Bay","4"
"West End","Market Place",72.7,"Pay by Phone Bay","2"
"West End","Market Place",72.5,"Resident Bay","3"
"Abbey Road","Marlborough Hill",21.2,"Pay by Phone Bay","3"
"Abbey Road","Marlborough Hill",29.1,"Resident Bay","75"
"Abbey Road","Marlborough Hill",45.6,"Shared Use Bay","21"
"Abbey Road","Marlborough Place",73.8,"Resident Bay","46"
"Abbey Road","Marlborough Place",80,"Shared Use Bay","7"
"Abbey Road","Marlborough Place",63.6,"Pay by Phone Bay","2"
"Queen's Park","Marne Street",67.6,"Shared Use Bay","15"
"Queen's Park","Marne Street",51,"Resident Bay","101"
"West End","Marshall Street",100,"Resident Bay","3"
"St. James's","Marsham Street",81.3,"Resident Bay","29"
"St. James's","Marsham Street",40.6,"Pay by Phone Bay","6"
"Vincent Square","Marsham Street",81.3,"Resident Bay","29"
"Vincent Square","Marsham Street",85,"Shared Use Bay","8"
"Harrow Road","Marylands Road",82.7,"Pay by Phone Bay","7"
"Harrow Road","Marylands Road",68.6,"Resident Bay","76"
"Westbourne","Marylands Road",82.7,"Pay by Phone Bay","7"
"Westbourne","Marylands Road",68.6,"Resident Bay","76"
"Marylebone High Street","Marylebone High Street",55.5,"Pay by Phone Bay","8"
"Marylebone High Street","Marylebone Lane",60.5,"Pay by Phone Bay","3"
"Marylebone High Street","Marylebone Lane",28.3,"Resident Bay","8"
"Marylebone High Street","Marylebone Street",91.8,"Resident Bay","30"
"Marylebone High Street","Marylebone Street",61.4,"Pay by Phone Bay","4"
"St. James's","Masons Yard",45.1,"Resident Bay","6"
"St. James's","Matthew Parker Street",67.3,"Resident Bay","5"
"St. James's","Matthew Parker Street",42.9,"Pay by Phone Bay","8"
"St. James's","Maunsel Street",72.7,"Pay by Phone Bay","2"
"St. James's","Maunsel Street",81.3,"Resident Bay","22"
"Vincent Square","Maunsel Street",72.7,"Pay by Phone Bay","2"
"West End","Mayfair Place",75.5,"Pay by Phone Bay","3"
"West End","Mayfair Place",84.5,"Resident Bay","3"
"St. James's","Medway Street",67.3,"Resident Bay","30"
"St. James's","Melbourne Place",43,"Pay by Phone Bay","13"
"Bryanston and Dorset Square","Melcombe Place",NA,"Pay by Phone Bay",NA
"Bryanston and Dorset Square","Melcombe Street",77.2,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Melcombe Street",81.1,"Resident Bay","11"
"Regent's Park","Melina Place",100,"Resident Bay","8"
"St. James's","Mercer Street",100,"Resident Bay","4"
"West End","Mill Street",38.2,"Resident Bay","5"
"Vincent Square","Millbank",5.8,"Pay by Phone Bay","17"
"Vincent Square","Millbank",93.2,"Resident Bay","4"
"Bryanston and Dorset Square","Molyneux Street",86.4,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","Molyneux Street",77.8,"Resident Bay","35"
"St. James's","Monck Street",38.6,"Pay by Phone Bay","4"
"St. James's","Monck Street",53.1,"Resident Bay","21"
"St. James's","Monck Street",56.5,"Shared Use Bay","8"
"Bayswater","Monmouth Road",49.6,"Pay by Phone Bay","6"
"Bayswater","Monmouth Road",77.1,"Resident Bay","32"
"Marylebone High Street","Montagu Mansions",79.2,"Resident Bay","34"
"Bryanston and Dorset Square","Montagu Mews North",100,"Resident Bay","1"
"Bryanston and Dorset Square","Montagu Mews South",95.5,"Resident Bay","2"
"Bryanston and Dorset Square","Montagu Place",80.2,"Resident Bay","16"
"Bryanston and Dorset Square","Montagu Place",82.6,"Shared Use Bay","8"
"Marylebone High Street","Montagu Row",36.4,"Pay by Phone Bay","1"
"Marylebone High Street","Montagu Row",100,"Resident Bay","2"
"Bryanston and Dorset Square","Montagu Square",61.5,"Resident Bay","124"
"Bryanston and Dorset Square","Montagu Square",57.6,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Montagu Square",59.8,"Shared Use Bay","26"
"Bryanston and Dorset Square","Montagu Street",50.8,"Resident Bay","38"
"Knightsbridge and Belgravia","Montpelier Place",45,"Pay by Phone Bay","3"
"Knightsbridge and Belgravia","Montpelier Place",62.5,"Resident Bay","13"
"Knightsbridge and Belgravia","Montpelier Square",56.5,"Resident Bay","41"
"Knightsbridge and Belgravia","Montpelier Square",67.9,"Pay by Phone Bay","21"
"Knightsbridge and Belgravia","Montpelier Street",70.7,"Resident Bay","29"
"Knightsbridge and Belgravia","Montpelier Street",80,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Montpelier Terrace",NA,"Resident Bay",NA
"Knightsbridge and Belgravia","Montpelier Walk",72.7,"Pay by Phone Bay","4"
"Knightsbridge and Belgravia","Montpelier Walk",100,"Resident Bay","8"
"Knightsbridge and Belgravia","Montrose Place",50,"Pay by Phone Bay","4"
"Bayswater","Moorhouse Road",61.8,"Pay by Phone Bay","7"
"Bayswater","Moorhouse Road",85,"Resident Bay","41"
"Tachbrook","Moreton Place",82,"Resident Bay","47"
"Tachbrook","Moreton Street",95.4,"Shared Use Bay","6"
"Tachbrook","Moreton Street",80.3,"Resident Bay","16"
"Tachbrook","Moreton Street",69.5,"Pay by Phone Bay","12"
"Tachbrook","Moreton Terrace",71.4,"Resident Bay","36"
"Tachbrook","Moreton Terrace",45.5,"Pay by Phone Bay","2"
"Vincent Square","Morpeth Terrace",73.4,"Resident Bay","30"
"Vincent Square","Morpeth Terrace",64.8,"Pay by Phone Bay","6"
"Maida Vale","Morshead Road",73.4,"Resident Bay","68"
"Maida Vale","Morshead Road",75.9,"Shared Use Bay","13"
"Lancaster Gate","Moscow Place",75.5,"Resident Bay","6"
"Lancaster Gate","Moscow Road",68.4,"Pay by Phone Bay","14"
"Lancaster Gate","Moscow Road",87.7,"Shared Use Bay","13"
"Lancaster Gate","Moscow Road",83.4,"Resident Bay","13"
"Knightsbridge and Belgravia","Motcomb Street",NA,"Pay by Phone Bay",NA
"Knightsbridge and Belgravia","Motcomb Street",100,"Resident Bay","2"
"West End","Mount Row",75.5,"Resident Bay","14"
"West End","Mount Row",36.1,"Pay by Phone Bay","3"
"West End","Mount Street",42.5,"Pay by Phone Bay","29"
"West End","Mount Street",46.9,"Shared Use Bay","32"
"West End","Mount Street",73.6,"Resident Bay","10"
"Queen's Park","Mozart Street",80,"Resident Bay","10"
"Queen's Park","Mozart Street",64.4,"Shared Use Bay","8"
"Church Street","Mulready Street",65.7,"Resident Bay","15"
"West End","Nassau Street",84.7,"Resident Bay","14"
"West End","Nassau Street",57.6,"Pay by Phone Bay","8"
"Bayswater","Needham Road",70.9,"Pay by Phone Bay","6"
"Bayswater","Needham Road",92.5,"Resident Bay","13"
"West End","New Bond Street",NA,"Pay by Phone Bay",NA
"West End","New Bond Street",47.6,"Shared Use Bay","7"
"West End","New Burlington Street",62,"Pay by Phone Bay","6"
"West End","New Cavendish Street",50.1,"Pay by Phone Bay","55"
"West End","New Cavendish Street",70.7,"Shared Use Bay","26"
"West End","New Cavendish Street",72.1,"Resident Bay","26"
"Marylebone High Street","New Cavendish Street",50.1,"Pay by Phone Bay","55"
"Marylebone High Street","New Cavendish Street",70.7,"Shared Use Bay","26"
"Marylebone High Street","New Cavendish Street",72.1,"Resident Bay","26"
"Bryanston and Dorset Square","New Quebec Street",69.1,"Resident Bay","10"
